id,url,ja,zh_cn,zh_tw,en,note,source
uncensored-1j,https://www.busfan.club/uncensored/genre/1j,1080p,1080p,1080p,1080p,,avsox;javbus
uncensored-1x,https://www.busfan.club/uncensored/genre/1x,10代,10代,10代,10代,,avsox;javbus
6h,https://www.busfan.club/genre/6h,10枚組,10碟套装,10枚組,Ten Clips,,javbus
6n,https://www.busfan.club/genre/6n,16時間以上作品,16小时以上作品,16時間以上作品,More Than 16 Hours Of Footage,,jav321;javbus
tags?c7=227,https://javdb521.com/tags?c7=227,3D,3D,3D,3D,,jav321;javbus;javdb;javlib
uncensored?c2=30,https://javdb521.com/tags/uncensored?c2=30,3P,3P,3P,3P,,javdb
ke,https://www.b49t.com/cn/vl_genre.php?g=ke,3P、4P,多P,多P,"3p, 4p",,javlib
3,https://www.busfan.club/genre/3,3P・4P,多P,多P,Threesome / Foursome,,jav321;javbus
tags?c5=24,https://javdb521.com/tags?c5=24,"3p, 4p",多P,多P,"3p, 4p",,javdb
tags?c7=10,https://javdb521.com/tags?c7=10,4HR+,4小时以上作品,4小時以上作品,4HR+,,javdb
tags?c7=347,https://javdb521.com/tags?c7=347,4K,4K,4K,4K,,javbus;javdb
43,https://www.busfan.club/genre/43,4時間以上作品,4小时以上作品,4小時以上作品,Over 4 Hours,,jav321;javbus;javlib
uncensored-1k,https://www.busfan.club/uncensored/genre/1k,60fps,60fps,60fps,60fps,,avsox;javbus
tags?c5=25,https://javdb521.com/tags?c5=25,69,69,69,69,,avsox;javbus;javdb
66,https://www.busfan.club/genre/66,AV OPEN 2014 スーパーヘビー,AV OPEN 2014 スーパーヘビー,AV OPEN 2014 スーパーヘビー,AV OPEN 2014 スーパーヘビー,AV OPEN作为一个奖项，更类似于一种发行上的归类而不是影片类型，而且JavBus并没有完整收录各年度的AV OPEN影片并应用相关分类。从保持一致性的角度出发，删除所有AV OPEN的标签,javbus
69,https://www.busfan.club/genre/69,AV OPEN 2014 ヘビー級,AV OPEN 2014 ヘビー級,AV OPEN 2014 ヘビー級,AV OPEN 2014 ヘビー級,,javbus
6a,https://www.busfan.club/genre/6a,AV OPEN 2014 ミドル級,AV OPEN 2014 ミドル級,AV OPEN 2014 ミドル級,AV OPEN 2014 ミドル級,,javbus
